QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,EXPIRE_STRUCTURE
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-18,1702933200,17.0,0.54256,0.00392,4.01298,-1.47157,1.18967,0.09927, 6.000000,45.56, 15 x 15,44.8,45.4,4595.0,39.4,39.7, 7 x 7,39.2,-0.46808,0.00374,3.99574,-0.98604,-0.91853,0.10916, 1.000000,1.3,0.0,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-18,1702933200,17.0,0.52317,0.00395,4.02973,-1.46055,1.14638,0.09875, 12.000000,41.6, 7 x 7,42.2,42.5,4600.0,41.7,42.0, 7 x 7,42.9,-0.48744,0.00382,4.00298,-0.97593,-0.94389,0.10816, 19.000000,6.3,0.001,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-18,1702933200,17.0,0.50278,0.00402,4.03675,-1.45084,1.10327,0.09875, 2.000000,40.71, 7 x 7,39.7,40.0,4605.0,43.8,44.4, 16 x 17,0.0,-0.50724,0.00395,4.00048,-0.95987,-0.96808,0.10828, ,11.3,0.002,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-18,1702933200,17.0,0.48331,0.00398,4.03325,-1.43494,1.06091,0.09871, 15.000000,36.56, 7 x 7,37.2,37.5,4610.0,46.5,46.9, 2 x 16,46.51,-0.52586,0.0039,3.98795,-0.94852,-0.99204,0.10773, 127.000000,16.3,0.004,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-18,1702933200,17.0,0.46355,0.00399,4.01939,-1.4149,1.01749,0.0987, 23.000000,25.2, 8 x 26,34.7,35.1,4615.0,49.1,49.4, 7 x 7,49.58,-0.54619,0.00393,3.96601,-0.92996,-1.01302,0.10762, 34.000000,21.3,0.005,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-19,1703019600,18.0,0.54374,0.0038,4.12402,-1.45452,1.25749,0.10063, 5.000000,47.8, 7 x 23,46.9,47.3,4595.0,40.7,41.0, 7 x 7,39.33,-0.46766,0.00366,4.10473,-0.96191,-0.9662,0.1092, 3.000000,1.3,0.0,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-19,1703019600,18.0,0.52497,0.00378,4.14086,-1.44267,1.21458,0.10006, 2.000000,45.8, 7 x 7,44.1,44.5,4600.0,42.8,43.2, 12 x 7,68.2,-0.48622,0.0037,4.11251,-0.94838,-0.99191,0.10874, 1.000000,6.3,0.001,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-19,1703019600,18.0,0.50525,0.00388,4.14801,-1.43069,1.17034,0.1001, 5.000000,42.0, 7 x 27,41.4,42.0,4605.0,45.2,45.7, 4 x 24,46.9,-0.50441,0.00381,4.11073,-0.93974,-1.01728,0.1088, 18.000000,11.3,0.002,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-19,1703019600,18.0,0.48674,0.00385,4.14642,-1.41899,1.12657,0.10067, 2.000000,41.5, 100 x 100,37.8,40.8,4610.0,47.7,48.2, 3 x 15,0.0,-0.5233,0.00378,4.09949,-0.92614,-1.04064,0.10872, ,16.3,0.004,1M
1701464400, 2023-12-01 16:00, 2023-12-01,16.0,4593.68, 2023-12-19,1703019600,18.0,0.46695,0.0039,4.13501,-1.38157,1.08139,0.09803, 2.000000,26.53, 115 x 1,35.2,37.1,4615.0,50.1,51.7, 3 x 100,51.3,-0.54224,0.00375,4.08125,-0.92084,-1.06415,0.10926, 21.000000,21.3,0.005,1M
